Unit Name,Nation,Type,Year,Cost,Def,Speed,Veh S,Veh M,Veh L,Per S,Per M,Per L,Abilities
Barbed Wire,-,Obstacle,1939,0.5,-,-,-,-,-,-,-,-,"Fortification, Barbed Wire, MineField"
Fortification,-,Obstacle,1939,2,-,-,-,-,-,-,-,-,"Fortification, Minefield, Pillbox"
Pillbox,-,Obstacle,1939,2,-,-,-,-,-,-,-,-,"Fortification, Pillbox, Tank Obstacle"
Tank Obstacle,-,Obstacle,1939,1,-,-,-,-,-,-,-,-,"Fortification, Tank Obstacle, Ammo Dump"
Ammo Dump,-,Soldier Support,1939,10,3/3,0,2,-,-,5,-,-,"Dug In, Plentiful Ammo, Flammable, Fuel Depot"
Fuel Depot,-,Soldier Support,1939,6,3/3,0,2,-,-,5,-,-,"Dug In, Extra Fuel, Flammable, Headquarters"
Headquarters,-,Soldier Support,1939,7,3/3,0,2,-,-,6,-,-,"Dug In, Organization"
Buffalo Mk I Rookie,Australia,Aircraft,1942,7,3/3,A,2,1,-,7,4,-,"Aircraft, Antiair, Inaccurate 1"
Australian Officer,Australia,Soldier Commander,1940,7,4/4,1,2,-,-,10,8,-,"Limited Range 2, COMMANDER ABILITIES:2, Pinpointer"
Owen SMG,Australia,Soldier,1942,3,4/4,1,2,-,-,9,6,-,"Limited Range 2, Close Assault 5"
Veteran SMLE Rifleman,Australia,Soldier,1940,5,4/4,1,2,-,-,9,7,-,"Close Assault 7, Steely Resolve 2"
Carro Armato M11/39,Australia,Vehicle Tank,1941,10,3/2,3,9,7,5,8,7,6,Fixed Gun
Lend-Lease Stuart,Australia,Vehicle Tank,1942,15,4/3,5,9,7,5,8,8,6,All Guns Blazing
Belgian Bicycle Troop,Belgium,Soldier,1940,4,4/4,1,2,-,-,8,6,-,"Close Assault 6, High Gear 2"
Belgian Infantry,Belgium,Soldier,1940,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Belgian Officer,Belgium,Soldier Commander,1940,6,4/4,1,2,-,-,6,-,-,"Close Assault 6, COMMANDER ABILITIES:2, Pinpointer"
T-13B3,Belgium,Vehicle Tank Destroyer,1940,10,2/2,4,10,8,7,6,6,4,-
