Ability Name,Description
Ace,"This unit ignores the -1 penalty on each attack die when attacking Aircraft. If an enemy Aircraft is placed within four hexes of this unit, this unit may make a defensive-fire attack against it."
Additional Hull-Mounted Cannon,"In your assault phase, this unit can make an extra attack at 12/10/8. The target must be a Vehicle in front of this unit."
Aggression 1,"In your assault phase, this unit can move at speed 1 before attacking."
Aggression 2,"In your assault phase, this unit can move at speed 2 before attacking."
Agility,This unit’s short range against aircraft is 0-2 hexes and its medium range against aircraft is 3-5 hexes.
Aircraft,Aircraft are placed during the flight phase and attack during the airstrike phase. Units attacking Aircraft use their anti-Soldier attacks and get –1 on each attack die.
All Guns Blazing,"After this unit attacks in your assault phase, it can make one extra attack against a Soldier."
Amphibious,This unit can cross streams without making a movement roll. This unit can enter water hexes as though they were double-cost terrain hexes.
Angriff,"In your assault phase, friendly non-disrupted non-Artillery Soldiers adjacent to this unit can move into an adjacent hex and attack an enemy Soldier or Vehicle in that hex. They get +1 on each attack die for that attack."
Antiair,"This unit ignores the -1 penalty on each attack die when attacking Aircraft. If an enemy Aircraft is placed in a hex adjacent to this unit, this unit may make a defensive-fire attack against it."
Antiair Support,While in the same hex as a friendly unit with the Antiair ability this unit gains the Antiair Ability.
Armor-Piercing Rounds,"Once per game, before you roll this unit’s attack against a Vehicle, you can declare you are using these rounds. If you score two hits against that Vehicle with this attack, score an additional hit."
AVRE,This unit ignores Obstacles. This unit destroys each Obstacle it crosses. This unit destroys each Obstacle in hexes it enters.
Awareness,This unit can make defensive-fire attacks against Soldiers that enter its hex.
Backblast,"If this unit attacks, it fails all cover rolls for the rest of the turn."
Banzai Charge,"In your assault phase, friendly non-Artillery Soldiers adjacent to this unit can move into an enemy unit's hex and then attack that unit. They get +1 on each attack die for that attack."
Barbed Wire,This Obstacle is placed along the boundary between hexes. A Soldier must make a successful movement roll to cross this Obstacle.
Battlefield Awareness,This unit can make defensive-fire attacks against Vehicles that move out of hexes adjacent to this unit. (The defensive-fire attack must be made while the target is still in an adjacent hex).
Blast,"When this unit attacks, make a separate attack roll against each unit in the target hex. (This includes friendly units, but not Aircraft.)"
Bombardment,This unit's attacks ignore cover. This unit can't attack Aircraft.
Bombs,"Once per game, instead of rolling this unit's attack against an enemy Soldier or Vehicle in the same hex, you can declare you are using bombs. If you do, roll 12 attack dice against enemy that unit if it's a Soldier or 8 attack dice if it's a vehicle."
Bravery Enforcement,Friendly disrupted Soldiers adjacent to this unit do not suffer the -1 penalty to their attack dice.
Bridge Demolition,"This unit may attempt to destroy a bridge or Obstacle in its hex instead of moving or attacking in your assault phase. Roll a die. If you roll a 4 or higher, destroy the bridge or Obstacle. (Units now need to make a movement roll to cross the stream, and the road is broken at that point.)"
Brushcutters,This unit can enter forest hexes without making a movement roll.
Camouflaged,"Until this unit attacks or moves, enemy units can't attack this unit at medium or long range."
Canadian Hero,"This unit doesn’t get placed on the battle map during deployment. At the beginning of any of your movement phases, you may deploy this unit in any hex that contains a friendly Canadian Soldier. This unit ignores face-up Disrupted counters."
Charge,This unit can move while disrupted if it moves closer to an enemy Soldier.
Chatting on the Radio,This unit only counts as a Spotter if it doesn't move in the assault phase.
